,Kurzbeschreibung,Beschreibung,Einheit
D2X,Windrichtung in Sektoren,Windrichtung in Sektoren: 32-teilig,
D2X_qflag,Qualitätsqflag für D2X,"Qualitätsqflag für D2X - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
D2X_typ,Qualitätstyp für D2X,"Qualitätstyp für D2X - Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
D6X,Windrichtung,Windrichtung in ° - vektorielles Mittel aus 10 Minuten-Werten über die Stunde ((hh-1):10 - hh:00),°
D6X_qflag,Qualitätsqflag für D6X,"Qualitätsqflag für D6X - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
D6X_typ,Qualitätstyp für D6X,"Qualitätstyp für D6X - Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
FFX,Relative Feuchte,"Relative Luftfeuchte - letzter 10 Minutenwert der vollen Stunde (01:00, 02:00,…)",%
FFX_qflag,Qualitätsqflag für FFX,"Qualitätsqflag für FFX - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
FFX_typ,Qualitätstyp für FFX,"Qualitätstyp für FFX - Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
GSR,Globalstrahlung ungeeicht,Globalstrahlung ungeeicht,mV
GSR_qflag,Qualitätsqflag für GSR,"Qualitätsqflag für GSR - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
GSR_typ,Qualitätstyp für GSR,"Qualitätstyp für GSR - Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
GSW,Globalstrahlung,"Globalstrahlung - Mittelwert aus 10 Minuten-Werten der kalibrierten Globalstrahlung, SUMME((hh-1):10 - hh:00)/6",W/m²
GSW_qflag,Qualitätsqflag für GSW,"Qualitätsqflag für GSW - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
GSW_typ,Qualitätstyp für GSW,"Qualitätstyp für GSW - Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
GSX,Globalstrahlung,Globalstrahlung - Mittelwert aus 10 Minuten-Werten der kalibrierten Globalstrahlung * 0.36 (=Umrechnung von W/m² auf J/cm²),J/cm²
GSX_qflag,Qualitätsqflag für GSX,"Qualitätsqflag für GSX - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
GSX_typ,Qualitätstyp für GSX,"Qualitätstyp für GSX - Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
HSR,Diffusstrahlung ungeeicht,"Diffusstrahlung ungeeicht - Mittelwert aus 10 Minuten-Werten der ungeeichten Diffusstrahlung, SUMME((hh-1):10 - hh:00)/6",mV
HSR_qflag,Qualitätsqflag für HSR,"Qualitätsqflag für HSR - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
HSR_typ,Qualitätstyp für HSR,"Qualitätstyp für HSR - Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
HSX,Diffusstrahlung,Diffusstrahlung - Mittelwert aus 10 Minuten-Werten der ungeeichten Diffusstrahlung HSR * Eichfaktor (monatsweise automatisch berechnet),J/cm² pro Stunde
HSX_qflag,Qualitätsqflag für HSX,"Qualitätsqflag für HSX - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
HSX_typ,Qualitätstyp für HSX,"Qualitätstyp für HSX - Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
LT2,Lufttemperatur in 5 cm,Lufttemperatur in 5 cm über dem Boden - minimaler 10 Minuten bzw. 1 Minuten-Wert der letzten Stunde,°C
LT2_qflag,Qualitätsqflag für LT2,"Qualitätsqflag für LT2 - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
LT2_typ,Qualitätstyp für LT2,"Qualitätstyp für LT2 - Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
PPX,Luftdruck Stationsniveau,"Luftdruck Stationsniveau - letzter 10 Minutenwert der vollen Stunde (01:00, 02:00,…)",mbar
PPX_qflag,Qualitätsqflag für PPX,"Qualitätsqflag für PPX - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
PPX_typ,Qualitätstyp für PPX,"Qualitätstyp für PPX - Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
PPY,Luftdruck auf Meeresniveau reduziert,Luftdruck auf Meeresniveau reduziert,mbar
PPY_qflag,Qualitätsqflag für PPY,"Qualitätsqflag für PPY - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
