id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung
5882,11082,GUMPOLDSKIRCHEN,16.280834,48.035831,212.0,2018-03-30,2100-12-31,NOE,,
13401,11176,KAPFENBERG-FLUGFELD,15.335556,47.458332,515.0,2018-05-24,2100-12-31,STMK,ja,ja
2117,11297,HORN -  WASSERWERK,15.643888,48.674999,308.0,2019-04-16,2100-12-31,NOE,ja,ja
16906,11108,GASCHURN,10.031667,46.980278,985.0,2020-09-01,2100-12-31,VBG,ja,ja
20209,8989076,KLAGENFURT/HTL1-LASTENSTRASSE,14.316667,46.619446,441.0,2021-04-21,2100-12-31,KNT,,
1416,11008,ROHRBACH,14.004444,48.567223,613.0,2021-10-15,2100-12-31,OOE,ja,ja
7956,11395,ANDAU,17.035555,47.77,117.0,2021-06-16,2100-12-31,BGL,ja,ja
500,11021,LITSCHAU,15.038333,48.954723,558.0,1983-10-01,2100-12-31,NOE,ja,ja
501,11021,LITSCHAU,15.033334,48.966667,570.0,1973-04-01,1983-10-31,NOE,ja,nein
620,,WAIDHOFEN/THAYA,15.283334,48.900002,505.0,1983-04-01,1985-06-30,NOE,nein,nein
710,,SCHOENFELD,15.416667,48.783333,585.0,1961-01-01,1981-12-31,NOE,ja,nein
726,11047,RAABS/THAYA,15.501945,48.848057,458.5,2008-06-01,2100-12-31,NOE,ja,ja
900,11022,RETZ,15.95,48.766666,242.0,1949-01-01,1984-12-31,NOE,ja,ja
901,11022,RETZ,15.95,48.753613,256.0,1984-01-01,1995-05-31,NOE,ja,ja
905,11022,RETZ/WINDMUEHLE,15.941667,48.761112,320.0,1993-12-01,2100-12-31,NOE,ja,ja
1000,,ALT-PRERAU,16.466667,48.799999,184.0,1935-07-01,1938-12-31,NOE,nein,nein
1410,11008,ROHRBACH,14.0,48.566666,602.0,1982-01-01,1994-07-31,OOE,ja,nein
1415,11008,ROHRBACH,13.994166,48.569721,597.0,1994-06-01,2021-10-31,OOE,,ja
1420,,SCHLAEGEL,13.968889,48.636391,543.0,1969-12-16,1983-09-30,OOE,ja,nein
1600,11015,FREISTADT,14.5,48.516666,548.0,1961-11-01,1973-11-30,OOE,ja,nein
1601,11015,FREISTADT,14.506111,48.506111,549.0,1992-01-01,2014-08-31,OOE,ja,ja
1602,11068,FREISTADT,14.506389,48.49472,539.0,2014-03-01,2100-12-31,OOE,nein,ja
1710,,LIEBENAU,14.805278,48.532776,998.0,1992-09-01,1994-04-30,OOE,ja,ja
1800,11025,WEITRA,14.898889,48.698055,580.0,1982-09-01,2000-12-31,NOE,ja,nein
1802,11025,WEITRA,14.898611,48.702221,572.0,2003-09-01,2100-12-31,NOE,ja,ja
1900,,SCHWARZENAU,15.266389,48.746666,500.0,1982-08-01,2000-12-31,NOE,ja,nein
1901,,SCHWARZENAU,15.258611,48.74361,504.0,2001-09-01,2001-09-30,NOE,nein,nein
1910,11020,STIFT ZWETTL,15.2,48.616665,506.0,1930-08-01,1976-12-31,NOE,nein,nein
